,directory,image_path,mask_path,status
0,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6400_19830518/TCGA_DU_6400_19830518_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6400_19830518/TCGA_DU_6400_19830518_1_mask.tif,0
1,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8563_19981209/TCGA_HT_8563_19981209_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8563_19981209/TCGA_HT_8563_19981209_1_mask.tif,0
2,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_6692_20020606/TCGA_FG_6692_20020606_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_6692_20020606/TCGA_FG_6692_20020606_1_mask.tif,0
6,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6401_19831001/TCGA_DU_6401_19831001_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6401_19831001/TCGA_DU_6401_19831001_1_mask.tif,0
7,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8018_19970411/TCGA_HT_8018_19970411_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8018_19970411/TCGA_HT_8018_19970411_1_mask.tif,0
12,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TR_19970726/TCGA_DU_A5TR_19970726_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TR_19970726/TCGA_DU_A5TR_19970726_1_mask.tif,0
13,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_8165_19970205/TCGA_DU_8165_19970205_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_8165_19970205/TCGA_DU_8165_19970205_1_mask.tif,0
15,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7010_19860307/TCGA_DU_7010_19860307_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7010_19860307/TCGA_DU_7010_19860307_1_mask.tif,0
16,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_6688_20020215/TCGA_FG_6688_20020215_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_6688_20020215/TCGA_FG_6688_20020215_1_mask.tif,0
17,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7680_19970202/TCGA_HT_7680_19970202_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7680_19970202/TCGA_HT_7680_19970202_1_mask.tif,0
19,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_8163_19961119/TCGA_DU_8163_19961119_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_8163_19961119/TCGA_DU_8163_19961119_1_mask.tif,0
23,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7294_19890104/TCGA_DU_7294_19890104_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7294_19890104/TCGA_DU_7294_19890104_1_mask.tif,0
24,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6186_20000601/TCGA_CS_6186_20000601_1_mask.tif,0
26,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TY_19970709/TCGA_DU_A5TY_19970709_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TY_19970709/TCGA_DU_A5TY_19970709_1_mask.tif,0
30,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7300_19910814/TCGA_DU_7300_19910814_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7300_19910814/TCGA_DU_7300_19910814_1_mask.tif,0
31,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7298_19910324/TCGA_DU_7298_19910324_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7298_19910324/TCGA_DU_7298_19910324_1_mask.tif,0
32,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_7643_20021104/TCGA_FG_7643_20021104_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_7643_20021104/TCGA_FG_7643_20021104_1_mask.tif,0
35,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7693_19950520/TCGA_HT_7693_19950520_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7693_19950520/TCGA_HT_7693_19950520_1_mask.tif,0
37,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6667_20011105/TCGA_CS_6667_20011105_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6667_20011105/TCGA_CS_6667_20011105_1_mask.tif,0
39,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6188_20010812/TCGA_CS_6188_20010812_1_mask.tif,0
41,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6404_19850629/TCGA_DU_6404_19850629_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6404_19850629/TCGA_DU_6404_19850629_1_mask.tif,0
43,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7019_19940908/TCGA_DU_7019_19940908_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7019_19940908/TCGA_DU_7019_19940908_1_mask.tif,0
45,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_A4MT_20020212/TCGA_FG_A4MT_20020212_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_A4MT_20020212/TCGA_FG_A4MT_20020212_1_mask.tif,0
46,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_A4MU_20030903/TCGA_FG_A4MU_20030903_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_A4MU_20030903/TCGA_FG_A4MU_20030903_1_mask.tif,0
48,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_6691_20020405/TCGA_FG_6691_20020405_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_6691_20020405/TCGA_FG_6691_20020405_1_mask.tif,0
52,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_5962_20000626/TCGA_FG_5962_20000626_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_FG_5962_20000626/TCGA_FG_5962_20000626_1_mask.tif,0
53,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_5393_19990606/TCGA_CS_5393_19990606_1_mask.tif,0
54,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7860_19960513/TCGA_HT_7860_19960513_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7860_19960513/TCGA_HT_7860_19960513_1_mask.tif,0
56,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_5852_19950709/TCGA_DU_5852_19950709_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_5852_19950709/TCGA_DU_5852_19950709_1_mask.tif,0
57,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6405_19851005/TCGA_DU_6405_19851005_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_6405_19851005/TCGA_DU_6405_19851005_1_mask.tif,0
58,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7616_19940813/TCGA_HT_7616_19940813_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7616_19940813/TCGA_HT_7616_19940813_1_mask.tif,0
63,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7309_19960831/TCGA_DU_7309_19960831_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7309_19960831/TCGA_DU_7309_19960831_1_mask.tif,0
65,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TT_19980318/TCGA_DU_A5TT_19980318_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TT_19980318/TCGA_DU_A5TT_19980318_1_mask.tif,0
66,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8111_19980330/TCGA_HT_8111_19980330_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8111_19980330/TCGA_HT_8111_19980330_1_mask.tif,0
67,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8105_19980826/TCGA_HT_8105_19980826_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_8105_19980826/TCGA_HT_8105_19980826_1_mask.tif,0
68,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7884_19980913/TCGA_HT_7884_19980913_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7884_19980913/TCGA_HT_7884_19980913_1_mask.tif,0
71,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7874_19950902/TCGA_HT_7874_19950902_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7874_19950902/TCGA_HT_7874_19950902_1_mask.tif,0
73,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TW_19980228/TCGA_DU_A5TW_19980228_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_A5TW_19980228/TCGA_DU_A5TW_19980228_1_mask.tif,0
74,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7301_19911112/TCGA_DU_7301_19911112_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7301_19911112/TCGA_DU_7301_19911112_1_mask.tif,0
75,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_4942_19970222/TCGA_CS_4942_19970222_1_mask.tif,0
77,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7473_19970826/TCGA_HT_7473_19970826_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_HT_7473_19970826/TCGA_HT_7473_19970826_1_mask.tif,0
78,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7008_19830723/TCGA_DU_7008_19830723_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7008_19830723/TCGA_DU_7008_19830723_1_mask.tif,0
79,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_8168_19970503/TCGA_DU_8168_19970503_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_8168_19970503/TCGA_DU_8168_19970503_1_mask.tif,0
83,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6669_20020102/TCGA_CS_6669_20020102_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_CS_6669_20020102/TCGA_CS_6669_20020102_1_mask.tif,0
84,TCGA_DU_6400_19830518,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7299_19910417/TCGA_DU_7299_19910417_1.tif,/home/mahdi/Desktop/project/dataset/kaggle_3m/TCGA_DU_7299_19910417/TCGA_DU_7299_19910417_1_mask.tif,0
